Date,Wagers/sales,Lotto,Bingo,Crossword,Terdrup,Free Roll,Crossword Paradise,Spin the Wheel,Race 6,Pick 3,Pick 4,Spin Roulette
10/4/2026," 1,862,215.00 ","11,520.00","615,450.00","679,470","40,125.00",904.00,"84,100.00","197,340.00","100,790.00","31,470","19,600","82,350.00"
11/4/2026," 1,798,420.00 ","15,300.00","647,010.00","609,000","38,775.00",797.00,"99,350.00","170,610.00","99,160.00","34,320","19,320","65,575.00"
12/4/2026," 1,757,690.00 ","19,410.00","630,510.00","627,420","30,350.00",798.00,"90,400.00","137,010.00","112,600.00","33,390","17,800","58,800.00"
13/04/2026," 1,803,145.00 ","68,280.00","585,780.00","637,650","40,550.00",876.00,"85,050.00","160,200.00","105,515.00","36,510","19,560","64,050.00"
14/04/2026," 1,902,830.00 ","24,900.00","693,600.00","631,980","52,850.00",814.00,"101,200.00","168,390.00","107,705.00","30,510","22,720","68,975.00"
15/04/2026," 1,974,015.00 ","27,540.00","660,120.00","664,020","55,125.00",930.00,"99,950.00","201,360.00","113,010.00","38,760","28,680","85,450.00"
16/04/2026," 1,817,225.00 ","65,370.00","600,540.00","597,270","43,475.00",897.00,"93,550.00","183,300.00","108,320.00","33,420","13,480","78,500.00"
17/04/2026," 1,778,135.00 ","23,250.00","605,160.00","609,510","45,750.00",834.00,"89,900.00","185,250.00","106,475.00","29,310","20,080","63,450.00"
18/04/2026," 1,633,635.00 ","9,450.00","562,680.00","581,760","32,750.00",677.00,"86,000.00","165,870.00","104,145.00","26,970","13,760","50,250.00"
19/04/2026," 1,456,725.00 ","15,180.00","531,090.00","487,800","29,825.00",708.00,"90,550.00","136,110.00","81,410.00","23,940","16,720","44,100.00"
20/04/2026," 1,726,000.00 ","61,860.00","612,870.00","584,250","36,875.00",898.00,"80,450.00","164,880.00","91,705.00","26,550","12,960","53,600.00"
21/04/2026," 1,744,395.00 ","17,580.00","595,110.00","565,620","46,425.00",799.00,"108,950.00","192,360.00","94,485.00","25,590","12,000","86,275.00"
22/04/2026," 1,765,130.00 ","21,270.00","620,580.00","603,840","36,775.00",784.00,"110,550.00","179,100.00","84,550.00","26,820","13,520","68,125.00"
23/04/2026," 2,177,860.00 ","76,830.00","686,310.00","757,020","51,600.00","1,014.00","113,900.00","243,180.00","96,175.00","29,790","19,680","103,375.00"
24/04/2026," 1,880,615.00 ","41,880.00","629,310.00","640,470","44,575.00",836.00,"108,250.00","202,800.00","100,350.00","24,330","16,680","71,850.00"
25/04/2026," 1,578,320.00 ","11,760.00","551,460.00","557,940","35,125.00",724.00,"72,200.00","158,580.00","96,130.00","16,920","16,480","61,725.00"
26/4/2026," 1,518,880.00 ","32,100.00","528,750.00","531,510","33,250.00",740.00,"62,150.00","146,430.00","88,780.00","26,580","13,080","56,250.00"
27/4/2026," 1,883,890.00 ","68,970.00","584,430.00","685,470","39,250.00",897.00,"102,150.00","175,980.00","105,205.00","20,430","24,880","77,125.00"
28/4/2026," 2,189,780.00 ","24,840.00","731,640.00","781,020","45,050.00",991.00,"99,450.00","240,600.00","119,690.00","37,410","28,080","82,000.00"
29/4/2026," 2,284,190.00 ","28,050.00","775,080.00","746,310.00","56,150.00","1,246.00","122,750.00","267,600.00","98,585.00","37,530.00","38,160.00","113,975.00"
30/4/2026," 2,361,485.00 ","84,930.00","801,210.00","756,360.00","48,350.00","1,166.00","126,950.00","216,870.00","118,280.00","58,680.00","29,680.00","120,175.00"
